Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        5.00 | GS    | Meta-Lowdin  | 0.025986 | 2.993332 | 1.006668
        5.00 | GS    | IAO          | 0.025083 | 2.992395 | 1.005339
        5.00 | GS    | PEIAO        | 0.003196 | 0.111597 | 0.044891
        5.00 | GS    | FPIAO(1.0)   | 0.026915 | 2.994479 | 1.003378
        5.00 | GS    | FPIAO(1.5)   | 0.025540 | 2.992968 | 1.004840
        5.00 | GS    | FPIAO(2.0)   | 0.025239 | 2.992617 | 1.005165
        5.20 | GS    | Mulliken     | 0.021424 | 2.991709 | 1.008291
        5.20 | GS    | Lowdin       | 0.028724 | 2.994984 | 1.005016
        5.20 | GS    | Meta-Lowdin  | 0.016817 | 2.995850 | 1.004150
        5.20 | GS    | IAO          | 0.016244 | 2.995212 | 1.003261
        5.20 | GS    | PEIAO        | 0.002970 | 0.117045 | 0.038611
        5.20 | GS    | FPIAO(1.0)   | 0.017532 | 2.996636 | 1.001912
        5.20 | GS    | FPIAO(1.5)   | 0.016545 | 2.995576 | 1.002942
        5.20 | GS    | FPIAO(2.0)   | 0.016343 | 2.995348 | 1.003155
        5.40 | GS    | Mulliken     | 0.014205 | 2.994634 | 1.005366
        5.40 | GS    | Lowdin       | 0.020070 | 2.997763 | 1.002237
        5.40 | GS    | Meta-Lowdin  | 0.010889 | 2.997405 | 1.002596
        5.40 | GS    | IAO          | 0.010522 | 2.996935 | 1.001993
        5.40 | GS    | PEIAO        | 0.002686 | 0.121833 | 0.032927
        5.40 | GS    | FPIAO(1.0)   | 0.011419 | 2.997907 | 1.001068
        5.40 | GS    | FPIAO(1.5)   | 0.010719 | 2.997168 | 1.001788
        5.40 | GS    | FPIAO(2.0)   | 0.010585 | 2.997020 | 1.001927
        5.60 | GS    | Mulliken     | 0.009437 | 2.996533 | 1.003467
        5.60 | GS    | Lowdin       | 0.014204 | 2.999527 | 1.000473
        5.60 | GS    | Meta-Lowdin  | 0.007057 | 2.998367 | 1.001632
        5.60 | GS    | IAO          | 0.006821 | 2.997996 | 1.001216
        5.60 | GS    | PEIAO        | 0.002379 | 0.125904 | 0.027891
        5.60 | GS    | FPIAO(1.0)   | 0.007440 | 2.998658 | 1.000585
        5.60 | GS    | FPIAO(1.5)   | 0.006950 | 2.998147 | 1.001084
        5.60 | GS    | FPIAO(2.0)   | 0.006861 | 2.998050 | 1.001176
        5.80 | GS    | Mulliken     | 0.006283 | 2.997764 | 1.002236
        5.80 | GS    | Lowdin       | 0.010219 | 3.000624 | 0.999376
        5.80 | GS    | Meta-Lowdin  | 0.004578 | 2.998967 | 1.001033
        5.80 | GS    | IAO          | 0.004425 | 2.998654 | 1.000739
        5.80 | GS    | PEIAO        | 0.002070 | 0.129251 | 0.023508
        5.80 | GS    | FPIAO(1.0)   | 0.004850 | 2.999105 | 1.000310
        5.80 | GS    | FPIAO(1.5)   | 0.004509 | 2.998753 | 1.000654
        5.80 | GS    | FPIAO(2.0)   | 0.004450 | 2.998689 | 1.000714
